Designator,Mid X,Mid Y,Rotation,Layer
C1,20.95,29.0,180.0,top
C10,5.2,48.5,180.0,top
C11,1.25,42.2,270.0,top
C12,13.95,29.75,90.0,top
C13,4.5,23.8,0.0,top
C14,17.5,44.1738,90.0,top
C15,17.5,42.1738,270.0,top
C2,21.45,30.5,180.0,top
C3,12.75,36.75,180.0,top
C4,12.25,32.5,270.0,top
C5,21.45,11.5,0.0,top
C6,11.5,42.5,90.0,top
C7,8.1625,41.3575,90.0,top
C8,1.25,19.75,90.0,top
C9,5.95,7.55,270.0,top
D1,1.45,7.2375,270.0,top
D2,1.25,45.9375,90.0,top
D3,5.45,40.0,180.0,top
J1,3.5,54.25,90.0,top
J2,12.45,4.25,0.0,top
J3,4.0,31.25,180.0,top
MICRO_SD1,16.5,54.4238,180.0,top
R1,23.94,6.0,0.0,top
R10,14.95,9.5,0.0,top
R11,14.25,44.7738,0.0,top
R2,18.7,37.0,270.0,top
R3,6.24,25.25,0.0,top
R4,6.24,26.5,0.0,top
R5,3.95,7.55,270.0,top
R7,10.7,9.76,270.0,top
R8,1.95,48.5,180.0,top
R9,2.0,39.5,0.0,top
S1,21.45,8.75,180.0,top
SW1,20.770784,36.727716,90.0,top
U1,11.775,34.95,270.0,top
U2,16.1,20.25,270.0,top
U3,10.5,40.0875,180.0,top
U4,4.0,13.65,90.0,top
U5,11.95,29.75,0.0,top
U6,5.0,45.25,90.0,top
U7,4.5,21.05,180.0,top
